,tradeType,buyPrice,qty,buyTime,sellPrice,sellTime,profit,profit_per_second,status
886230b6b6,long,45578.6796875,0.002194008266268957,1631369314.4850574,45571.53125,1631369362.279471,-0.015683730965906997,-0.0003281501166798508,closed
7cf4ab60e7,long,45566.5546875,0.002194247885422467,1631369378.6074176,45585.3984375,1631369428.284797,0.04134785859092961,0.0008323282607567953,closed
b4f0b1ac41,long,45583.26953125,0.002193787348479778,1631369442.5254376,45584.1953125,1631369454.6767237,0.0020309671937097946,0.00016714081948379644,closed
871aeae0c8,long,45579.984375,0.0021939454646862197,1631369464.8751807,45539.4453125,1631369535.0362604,-0.08894049231450621,-0.001267662061478989,closed
37c241fe8e,long,45559.59375,0.0021929752064061264,1631369602.2363305,45575.625,1631369614.3382344,0.03515613377769821,0.0029050164582550696,closed
