,symbol,ind,trade,buyPrice,qty,buyTime,sellPrice,sellTime,profit,profit_ps,status,buy_dt,sell_dt
ca967621,BTCUSDT,rand,long,66612.94,0.0007506049124989829,1634746763.3270888,66612.94,1634746763.3620193,0.0,0.0,closed--1-n,211020-181923,211020-181923
394daaac,BTCEUR,rand,long,57091.07,0.0008752840022653798,1634746763.529798,57091.07,1634746763.572022,0.0,0.0,closed--1-n,211020-181923,211020-181923
df152752,LTCEUR,rand,long,174.6,0.28555008511273877,1634746763.610434,174.6,1634746763.6796908,0.0,0.0,closed--1-n,211020-181923,211020-181923
48efd973,BTCEUR,rand,long,57091.07,0.0008752840022653798,1634746763.6337216,57099.35,1634746764.699459,0.007247351538756325,0.0068,closed--1-n,211020-181923,211020-181924
ca7de412,BTCUSDT,rand,long,66617.15,0.0007505574765657193,1634746764.40734,66620.99,1634746765.4711063,0.002882140710020663,0.0027,closed--1-n,211020-181924,211020-181925
a109e7f9,LTCEUR,rand,long,174.6,0.28555008511273877,1634746764.741881,174.6,1634746764.7816374,0.0,0.0,closed--1-n,211020-181924,211020-181924
7bd9e9ea,LTCEUR,rand,long,174.6,0.28555008511273877,1634746764.8192604,174.7,1634746765.8942294,0.028555008511272253,0.0266,closed--1-n,211020-181924,211020-181925
1993bfcc,ETHEUR,rand,long,3506.95,0.014255128810111418,1634746764.8682113,3506.95,1634746764.9107077,0.0,0.0,closed--1-n,211020-181924,211020-181924
8d6b59fe,ETHUSDT,rand,long,4089.99,0.012223686521291955,1634746766.0270667,4089.99,1634746767.092506,0.0,0.0,closed--1-n,211020-181926,211020-181927
073fe412,BTCUSDT,rand,long,66617.64,0.000750551955908375,1634746766.5394828,66617.64,1634746766.585818,0.0,0.0,closed--1-n,211020-181926,211020-181926
dcc93dc3,ETHEUR,rand,long,3505.95,0.014259194791888143,1634746766.9914243,3505.95,1634746767.0841079,0.0,0.0,closed--1-n,211020-181926,211020-181927
4dbb155e,ETHUSDT,rand,long,4089.99,0.012223686521291955,1634746767.1650133,4089.99,1634746767.2018797,0.0,0.0,closed--1-n,211020-181927,211020-181927
eab532b3,ETHUSDT,rand,long,4089.99,0.012223686521291955,1634746767.2371707,4090.0,1634746768.2985528,0.00012223686521558772,0.0001,closed--1-n,211020-181927,211020-181928
3e6ebb4f,LTCEUR,rand,long,174.7,0.28555008511273877,1634746768.001868,174.7,1634746768.0446348,0.0,0.0,closed--1-n,211020-181927,211020-181928
44044716,BTCUSDT,rand,long,66617.65,0.0007505518432427443,1634746768.671892,66617.65,1634746769.748075,0.0,0.0,closed--1-n,211020-181928,211020-181929
5b74f8c8,BTCEUR,rand,long,57099.34,0.0008752841555568193,1634746768.800731,57099.34,1634746769.851896,0.0,0.0,closed--1-n,211020-181928,211020-181929
5c3a9c89,LTCEUR,rand,long,174.6,0.28571363040776326,1634746769.1136239,174.7,1634746769.1873133,0.028571363040774702,0.3879,closed--1-n,211020-181929,211020-181929
f7ced53b,BTCUSDT,rand,long,66617.65,0.0007505518432427443,1634746769.7887433,66617.15,1634746770.842808,-0.00037527592162137216,-0.0004,closed--1-n,211020-181929,211020-181930
5bac509f,BTCEUR,rand,long,57099.34,0.0008752841555568193,1634746769.8955836,57099.34,1634746770.9532354,0.0,0.0,closed--1-n,211020-181929,211020-181930
4af2d2de,LTCEUR,rand,long,174.7,0.28571363040776326,1634746770.246461,174.7,1634746770.3223124,0.0,0.0,closed--1-n,211020-181930,211020-181930
d77a3c20,ETHEUR,rand,long,3505.23,0.014262123735281346,1634746770.2795792,3505.33,1634746772.3642519,0.0014262123735268376,0.0007,closed--1-n,211020-181930,211020-181932
57b7007e,LTCEUR,rand,long,174.7,0.28571363040776326,1634746770.3655841,174.7,1634746771.4321237,0.0,0.0,closed--1-n,211020-181930,211020-181931
efdddd25,ETHUSDT,rand,long,4089.33,0.012225689262564796,1634746770.4010317,4089.33,1634746770.4479167,0.0,0.0,closed--1-n,211020-181930,211020-181930
75a5011e,ETHUSDT,rand,long,4089.33,0.012225689262564796,1634746770.4874845,4089.33,1634746770.5379696,0.0,0.0,closed--1-n,211020-181930,211020-181930
7e242447,LTCEUR,rand,long,174.7,0.28571363040776326,1634746771.477514,174.7,1634746771.5228865,0.0,0.0,closed--1-n,211020-181931,211020-181931
d5a876a5,LTCEUR,rand,long,174.7,0.28571363040776326,1634746771.5671146,174.7,1634746772.627508,0.0,0.0,closed--1-n,211020-181931,211020-181932
5af9cc26,ETHUSDT,rand,long,4089.99,0.012223716408129139,1634746771.606314,4089.99,1634746771.646207,0.0,0.0,closed--1-n,211020-181931,211020-181931
b494bf11,ETHUSDT,rand,long,4089.99,0.012223716408129139,1634746771.6840508,4089.99,1634746771.7220535,0.0,0.0,closed--1-n,211020-181931,211020-181931
d33e44a7,ETHUSDT,rand,long,4089.99,0.012223716408129139,1634746771.7608435,4089.99,1634746771.8000603,0.0,0.0,closed--1-n,211020-181931,211020-181931
8130731b,ETHUSDT,rand,long,4089.99,0.012223716408129139,1634746771.8380866,4089.99,1634746771.8756914,0.0,0.0,closed--1-n,211020-181931,211020-181931
2516cf4b,BTCUSDT,rand,long,66617.64,0.0007505463226268355,1634746771.9144804,66617.64,1634746771.9538183,0.0,0.0,closed--1-n,211020-181931,211020-181931
a2dd0cb2,BTCUSDT,rand,long,66623.3,0.0007504825597663036,1634746772.009573,66623.3,1634746772.0998595,0.0,0.0,closed--1-n,211020-181932,211020-181932
dcc44e46,BTCEUR,rand,long,57099.39,0.0008752833891001587,1634746772.0430176,57099.43,1634746772.112781,3.501133556477057e-05,0.0005,closed--1-n,211020-181932,211020-181932
eaa30efc,BTCUSDT,rand,long,66623.3,0.0007504825597663036,1634746772.1754508,66621.0,1634746775.2773573,-0.0017261098874646827,-0.0006,closed--1-n,211020-181932,211020-181935
766cc27a,BTCEUR,rand,long,57099.43,0.0008752833891001587,1634746772.234381,57100.0,1634746776.371386,0.0004989115317868357,0.0001,closed--1-n,211020-181932,211020-181936
