,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,ema_long,ema_switch
2021-10-20 18:16:18+02:00,175.4,0,,,175.39999389648438,175.39999389648438,175.39999389648438,0
2021-10-20 18:16:20+02:00,175.4,0,,,175.39999389648438,175.39999389648438,175.39999389648438,0
2021-10-20 18:16:21+02:00,175.2,0,,,175.3052584999486,175.3228297196035,175.33197697761545,0
2021-10-20 18:16:21+02:00,175.2,0,,,175.26153447077826,175.2847015380859,175.29797545726674,0
2021-10-20 18:16:22+02:00,175.2,0,175.27999572753907,,175.23791106165305,175.2621818038134,175.27758009474056,0
2021-10-20 18:16:24+02:00,175.2,0,175.23999633789063,,175.22405673148938,175.24746005846407,175.2639878094274,0
2021-10-20 18:16:25+02:00,175.2,0,175.1999969482422,,175.2155382361095,175.23718795480374,175.25428299502917,0
2021-10-20 18:16:26+02:00,175.2,0,175.1999969482422,,175.2101474674234,175.2296905236919,175.24700784811503,0
2021-10-20 18:16:27+02:00,175.2,0,175.1999969482422,,175.20667359770624,175.2240366045267,175.24135247764,0
2021-10-20 18:16:28+02:00,175.2,0,175.1999969482422,,175.2044087723482,175.21966702255867,175.23683094875256,0
2021-10-20 18:16:28+02:00,175.2,0,175.1999969482422,,175.2029209637277,175.21622558126148,175.23313402997994,0
2021-10-20 18:16:29+02:00,175.2,0,175.1999969482422,,175.20193872141726,175.21347455921273,175.23005556682082,0
2021-10-20 18:16:31+02:00,175.2,0,175.1999969482422,,175.2012881207557,175.21124920753854,175.22745283675687,0
2021-10-20 18:16:32+02:00,175.2,0,175.1999969482422,,175.20085625055194,175.20943174637864,175.22522389497357,0
2021-10-20 18:16:33+02:00,175.2,0,175.1999969482422,,175.20056916083388,175.20793575982105,175.22329398179295,0
2021-10-20 18:16:34+02:00,175.2,0,175.1999969482422,,175.20037813247433,175.20669643920607,175.2216070273188,0
2021-10-20 18:16:34+02:00,175.2,0,175.1999969482422,,175.20025094197044,175.20566426609759,175.22012015444275,0
2021-10-20 18:16:36+02:00,175.2,0,175.1999969482422,,175.20016622006818,175.20480079691492,175.21880001418134,0
2021-10-20 18:16:37+02:00,175.2,0,175.1999969482422,,175.20010977066227,175.20407577473574,175.21762027827552,0
2021-10-20 18:16:38+02:00,175.2,0,175.1999969482422,175.2199966430664,175.20007215187587,175.20346510370217,175.21655988400994,0
2021-10-20 18:16:39+02:00,175.7,0,175.29999694824218,175.2349967956543,175.36674716663387,175.27729802032403,175.24452489869182,1
2021-10-20 18:16:40+02:00,175.7,0,175.39999694824218,175.2499969482422,175.47784527623025,175.33978724241067,175.26991145684448,0
2021-10-20 18:16:41+02:00,175.7,0,175.4999969482422,175.27499694824218,175.5519024324148,175.39277473564874,175.2930559393543,0
2021-10-20 18:16:41+02:00,175.7,0,175.5999969482422,175.29999694824218,175.6012702036271,175.43777665631004,175.31423866619292,0
2021-10-20 18:16:43+02:00,175.7,0,175.6999969482422,175.3249969482422,175.63418042181348,175.47604804090292,175.33369510858375,0
2021-10-20 18:16:43+02:00,175.7,0,175.6999969482422,175.3499969482422,175.65611984318824,175.50863284678678,175.3516245137446,0
2021-10-20 18:16:44+02:00,175.7,0,175.6999969482422,175.3749969482422,175.6707458023036,175.536403105942,175.36819661302042,0
2021-10-20 18:16:45+02:00,175.7,0,175.6999969482422,175.39999694824218,175.6804962986951,175.5600898795495,175.38355689255832,0
2021-10-20 18:16:47+02:00,175.7,0,175.6999969482422,175.42499694824218,175.68699656606003,175.58030796085907,175.39783077349765,0
2021-10-20 18:16:48+02:00,175.7,0,175.6999969482422,175.4499969482422,175.69133004938695,175.59757575634893,175.41112695612148,0
2021-10-20 18:16:48+02:00,175.7,0,175.6999969482422,175.4749969482422,175.6942190257162,175.61233140837797,175.42354011675258,0
2021-10-20 18:16:50+02:00,175.5,0,175.65999755859374,175.48999710083007,175.62947920042222,175.59616758554392,175.42675192837805,0
2021-10-20 18:16:51+02:00,175.5,0,175.6199981689453,175.50499725341797,175.58631940025705,175.58234397485282,175.42976256940418,0
2021-10-20 18:16:52+02:00,175.5,0,175.5799987792969,175.51999740600587,175.55754623719758,175.570517939206,175.43258980679613,-1
2021-10-20 18:16:52+02:00,175.5,0,175.53999938964844,175.53499755859374,175.53836414495822,175.56039802394048,175.4352493774527,0
2021-10-20 18:16:54+02:00,175.5,0,175.5,175.54999771118165,175.52557609078391,175.55173604233767,175.43775527015552,0
2021-10-20 18:16:54+02:00,175.5,0,175.5,175.56499786376952,175.51705072458714,175.54432045539824,175.44011996179668,0
2021-10-20 18:16:56+02:00,175.2,0,175.43999938964845,175.56499786376952,175.41136611096692,175.49499041073918,175.43115884568203,0
2021-10-20 18:16:57+02:00,175.2,0,175.37999877929687,175.56499786376952,175.34090971383412,175.45274500794477,175.422679009232,0
2021-10-20 18:16:57+02:00,175.2,0,175.31999816894532,175.56499786376952,175.2939387877222,175.4165621742208,175.41464429073042,0
2021-10-20 18:16:59+02:00,175.2,0,175.25999755859374,175.53999786376954,175.2626248393409,175.38556850786887,175.40702205501327,0
2021-10-20 18:17:00+02:00,175.2,0,175.1999969482422,175.51499786376954,175.24174887480223,175.35901732896036,175.3997827736584,0
2021-10-20 18:17:01+02:00,175.2,0,175.1999969482422,175.48999786376953,175.22783156557594,175.33627005590114,175.39289966375352,0
2021-10-20 18:17:01+02:00,175.2,0,175.1999969482422,175.46499786376953,175.2185533596323,175.3167803816296,175.38634837592386,0
2021-10-20 18:17:02+02:00,175.2,0,175.1999969482422,175.43999786376952,175.21236788909525,175.30008081217673,175.3801067239558,0
2021-10-20 18:17:04+02:00,175.2,0,175.1999969482422,175.41499786376954,175.2082442421115,175.285771202839,175.37415444968772,0
2021-10-20 18:17:05+02:00,175.2,0,175.1999969482422,175.38999786376954,175.2054951441405,175.2735089866513,175.36847301791485,0
2021-10-20 18:17:05+02:00,175.2,0,175.1999969482422,175.36499786376953,175.20366241216792,175.2630008388134,175.36304543693115,0
2021-10-20 18:17:07+02:00,175.2,0,175.1999969482422,175.33999786376953,175.2024405908565,175.25399556125205,175.35785610104597,0
2021-10-20 18:17:08+02:00,175.2,0,175.1999969482422,175.31499786376952,175.2016260433171,175.2462780051903,175.35289065199896,0
2021-10-20 18:17:09+02:00,175.2,0,175.1999969482422,175.28999786376954,175.2010830116249,175.23966387770335,175.34813585667914,0
2021-10-20 18:17:09+02:00,175.2,0,175.1999969482422,175.27499771118164,175.20072099049708,175.23399530177448,175.34357949895357,0
2021-10-20 18:17:11+02:00,175.2,0,175.1999969482422,175.25999755859374,175.20047964307867,175.22913701912628,175.33921028374212,0
2021-10-20 18:17:12+02:00,175.2,0,175.1999969482422,175.24499740600587,175.20031874479977,175.22497314174103,175.3350177517505,0
2021-10-20 18:17:13+02:00,175.2,0,175.1999969482422,175.22999725341796,175.20021147928057,175.221404372028,175.33099220350547,0
2021-10-20 18:17:14+02:00,175.2,0,175.1999969482422,175.2149971008301,175.20013996893442,175.21834562347055,175.32712463152916,0
2021-10-20 18:17:15+02:00,175.2,0,175.1999969482422,175.1999969482422,175.20009229537035,175.21572398364899,175.32340665965316,0
2021-10-20 18:17:16+02:00,175.2,0,175.1999969482422,175.1999969482422,175.2000605129943,175.2134769700718,175.31983048861056,0
2021-10-20 18:17:17+02:00,175.2,0,175.1999969482422,175.1999969482422,175.2000393247436,175.2115510365049,175.31638884716102,0
2021-10-20 18:17:18+02:00,175.3,0,175.21999816894532,175.20499725341796,175.2333605670826,175.2241882544334,175.31592231235535,1
2021-10-20 18:17:19+02:00,175.3,0,175.23999938964843,175.20999755859376,175.2555747286414,175.23501983294256,175.3154728683312,0
2021-10-20 18:17:20+02:00,175.3,0,175.26000061035157,175.21499786376953,175.2703841696804,175.2443038061112,175.31503967965526,0
2021-10-20 18:17:21+02:00,175.3,0,175.28000183105468,175.21999816894532,175.28025713037295,175.25226132329547,175.31462196384848,0
2021-10-20 18:17:22+02:00,175.2,0,175.28000183105468,175.21999816894532,175.2535037363292,175.24479459626647,175.31146227600843,0
2021-10-20 18:17:23+02:00,175.0,0,175.22000122070312,175.2099983215332,175.16900249088587,175.2098223830399,175.3029411504308,-1
